*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb15.dag
V:265214,E:345203,lbs:15
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_acyc_c.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.39,.00,.00,.00,.40,70522,1128,10015,0,2339
1,success,.23,.00,.00,.00,.23,106090,565,17209,0,1155
2,success,.24,.00,.00,.02,.27,88567,1228,215164,0,2733
3,success,.19,.00,.00,.05,.24,88062,1487,1178576,0,3180
4,success,.19,.00,.00,.02,.21,88714,1070,469706,0,2252
5,success,.18,.00,.00,1.36,1.54,88272,2332,45850947,0,4846
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.39,.00,.00,.00,.40,70522,1128,10015,0,2339
1,success,.23,.00,.00,.00,.23,106090,565,17209,0,1155
2,success,.24,.00,.00,.02,.27,88567,1228,215164,0,2733
3,success,.19,.00,.00,.05,.24,88062,1487,1178576,0,3180
4,success,.19,.00,.00,.02,.21,88714,1070,469706,0,2252
5,success,.18,.00,.00,1.36,1.54,88272,2332,45850947,0,4846

Data loading Time,1.24
Index building Time,.35
Average Eval Time per run,2.89
Average Eval Time per query,.48
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.00
Average Enumeration Time per run,1.45
Average Enumeration Time per query,.24
Average Nodes before per query,88371.17
Average Nodes after per query,1301.67
Average number of solution tuples per query,7956936.17
Max Used Memory,701.00 MB
*****************************************************
