*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb15.dag
V:265214,E:345203,lbs:15
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_acyc_c.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.39,.00,.00,.00,.39,70522,1128,21123,0,2339
1,success,.26,.00,.00,.00,.26,106090,565,12817,0,1155
2,success,.22,.00,.00,.07,.29,88567,1228,350837,0,2733
3,success,.20,.00,.00,.42,.63,88062,1487,3979216,0,3180
4,success,.19,.00,.00,.02,.21,88714,1070,141280,0,2252
5,success,.21,.00,.00,6.20,6.42,88272,2330,67473077,0,4844
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.39,.00,.00,.00,.39,70522,1128,21123,0,2339
1,success,.26,.00,.00,.00,.26,106090,565,12817,0,1155
2,success,.22,.00,.00,.07,.29,88567,1228,350837,0,2733
3,success,.20,.00,.00,.42,.63,88062,1487,3979216,0,3180
4,success,.19,.00,.00,.02,.21,88714,1070,141280,0,2252
5,success,.21,.00,.00,6.20,6.42,88272,2330,67473077,0,4844

Data loading Time,1.20
Index building Time,.39
Average Eval Time per run,8.21
Average Eval Time per query,1.37
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.00
Average Enumeration Time per run,6.72
Average Enumeration Time per query,1.12
Average Nodes before per query,88371.17
Average Nodes after per query,1301.33
Average number of solution tuples per query,11996391.67
Max Used Memory,814.00 MB
*****************************************************
