*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb15.dag
V:265214,E:345203,lbs:15
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_acyc_c.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.45,.00,.01,.01,.47,70522,1128,21123,0,2339
1,success,.21,.00,.00,.00,.21,106090,565,12817,0,1155
2,success,.25,.00,.00,.02,.27,88567,1228,350837,0,2733
3,success,.31,.00,.00,.07,.39,88062,1487,3979216,0,3180
4,success,.18,.00,.00,.00,.19,88714,1083,141280,0,2265
5,exceedLimit,.28,.00,.00,.00,.50,88272,2345,10000000,0,4859
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.45,.00,.01,.01,.47,70522,1128,21123,0,2339
1,success,.21,.00,.00,.00,.21,106090,565,12817,0,1155
2,success,.25,.00,.00,.02,.27,88567,1228,350837,0,2733
3,success,.31,.00,.00,.07,.39,88062,1487,3979216,0,3180
4,success,.18,.00,.00,.00,.19,88714,1083,141280,0,2265
5,exceedLimit,.28,.00,.00,.00,.50,88272,2345,10000000,0,4859

Data loading Time,1.23
Index building Time,.49
Average Eval Time per run,2.03
Average Eval Time per query,.34
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.00
Average Enumeration Time per run,.10
Average Enumeration Time per query,.02
Average Nodes before per query,88371.17
Average Nodes after per query,1306.00
Average number of solution tuples per query,2417545.50
Max Used Memory,647.00 MB
*****************************************************
