*****************************************************,,,,,,,,,,,
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag,,,,,,,,,,,
V:265214,E:345203,lbs:20,,,,,,,,,
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_q7.qry,,,,,,,,,,,
Algorithm:DagEval_ansgr,,,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,0,0,0,0,0,52709,91,22,0,214
0,success,0,0,0,0,0,52709,91,22,0,214
0,success,0,0,0,0,0,52709,91,22,0,214
Average,running,time:,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,0,0,0,0,0,52709,91,22,0,214
,,,,,,,,,,,
Data loading Time,1.19,,,,,,,,,,
Index building Time,0.38,,,,,,,,,,
Average Eval Time per run,0,,,,,,,,,,
Average Eval Time per query,0,,,,,,,,,,
Average pruning Time per run,0,,,,,,,,,,
Average pruning Time per query,0,,,,,,,,,,
Average Plan Time per run,0,,,,,,,,,,
Average Plan Time per query,0,,,,,,,,,,
Average Matching Time per run,0,,,,,,,,,,
Average Matching Time per query,0,,,,,,,,,,
Average Enumeration Time per run,0,,,,,,,,,,
Average Enumeration Time per query,0,,,,,,,,,,
Average Nodes before per query,52709,,,,,,,,,,
Average Nodes after per query,91,,,,,,,,,,
Average number of solution tuples per query,22,,,,,,,,,,
Max Used Memory,492.00 MB,,,,,,,,,,
*****************************************************,,,,,,,,,,,
