*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_q7.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.00,.00,.00,.05,.05,52709,91,22,0,214
0,success,.00,.00,.00,.00,.00,52709,91,22,0,214
0,success,.00,.00,.00,.00,.00,52709,91,22,0,214
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.00,.00,.00,.02,.02,52709,91,22,0,214

Data loading Time,1.86
Index building Time,.46
Average Eval Time per run,.05
Average Eval Time per query,.05
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.05
Average Enumeration Time per query,.05
Average Nodes before per query,52709.00
Average Nodes after per query,91.00
Average number of solution tuples per query,22.00
Max Used Memory,461.00 MB
*****************************************************
