*****************************************************,,,,,,,,,,,
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag,,,,,,,,,,,
V:265214,E:345203,lbs:20,,,,,,,,,
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_d_q7.qry,,,,,,,,,,,
Algorithm:DagEval_ansgr,,,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,exceedLimit,0,0,0.5,0,1.34,53054,10313,10000000,0,3154917
0,exceedLimit,0,0,0.52,0,1.3,53054,10313,10000000,0,3154917
0,exceedLimit,0,0,0.58,0,1.4,53054,10313,10000000,0,3154917
Average,running,time:,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,exceedLimit,0,0,0.53,0,1.35,53054,10313,10000000,0,3154917
,,,,,,,,,,,
Data loading Time,1.15,,,,,,,,,,
Index building Time,0.41,,,,,,,,,,
Average Eval Time per run,2.51,,,,,,,,,,
Average Eval Time per query,2.51,,,,,,,,,,
Average pruning Time per run,0,,,,,,,,,,
Average pruning Time per query,0,,,,,,,,,,
Average Plan Time per run,0,,,,,,,,,,
Average Plan Time per query,0,,,,,,,,,,
Average Matching Time per run,1.1,,,,,,,,,,
Average Matching Time per query,1.1,,,,,,,,,,
Average Enumeration Time per run,0,,,,,,,,,,
Average Enumeration Time per query,0,,,,,,,,,,
Average Nodes before per query,53054,,,,,,,,,,
Average Nodes after per query,10313,,,,,,,,,,
Average number of solution tuples per query,10000000,,,,,,,,,,
Max Used Memory,631.00 MB,,,,,,,,,,
*****************************************************,,,,,,,,,,,
