*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q6.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.36,.00,1.60,.56,2.52,39736,9775,18281,0,1318000
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.36,.00,1.60,.56,2.52,39736,9775,18281,0,1318000

Data loading Time,1.11
Index building Time,.41
Average Eval Time per run,2.52
Average Eval Time per query,2.52
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,1.60
Average Matching Time per query,1.60
Average Enumeration Time per run,.56
Average Enumeration Time per query,.56
Average Nodes before per query,39736.00
Average Nodes after per query,9775.00
Average number of solution tuples per query,18281.00
Max Used Memory,338.00 MB
*****************************************************
