*****************************************************,,,,,,,,,,,
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag,,,,,,,,,,,
V:265214,E:345203,lbs:20,,,,,,,,,
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q6.qry,,,,,,,,,,,
Algorithm:DagEval_ansgr,,,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,0,0,0.45,0.06,0.14,39736,928,18281,0,91993
Average,running,time:,,,,,,,,,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,0,0,0.5,0.06,0.14,39736,928,18281,0,91991
,,,,,,,,,,,
Data loading Time,1.17,,,,,,,,,,
Index building Time,0.4,,,,,,,,,,
Average Eval Time per run,0.1,,,,,,,,,,
Average Eval Time per query,0.1,,,,,,,,,,
Average pruning Time per run,0,,,,,,,,,,
Average pruning Time per query,0,,,,,,,,,,
Average Plan Time per run,0,,,,,,,,,,
Average Plan Time per query,0,,,,,,,,,,
Average Matching Time per run,0.04,,,,,,,,,,
Average Matching Time per query,0.04,,,,,,,,,,
Average Enumeration Time per run,0.06,,,,,,,,,,
Average Enumeration Time per query,0.06,,,,,,,,,,
Average Nodes before per query,39736,,,,,,,,,,
Average Nodes after per query,928,,,,,,,,,,
Average number of solution tuples per query,18281,,,,,,,,,,
Max Used Memory,1117.00 MB,,,,,,,,,,
*****************************************************,,,,,,,,,,,
