*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_q7.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.00,.00,.01,.02,.03,53443,684,50083,0,23679
0,success,.00,.00,.01,.02,.03,53443,684,50083,0,23679
0,success,.00,.00,.01,.01,.02,53443,684,50083,0,23679
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.00,.00,.01,.02,.03,53443,684,50083,0,23679

Data loading Time,1.16
Index building Time,.46
Average Eval Time per run,.06
Average Eval Time per query,.06
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.02
Average Enumeration Time per run,.04
Average Enumeration Time per query,.04
Average Nodes before per query,53443.00
Average Nodes after per query,684.00
Average number of solution tuples per query,50083.00
Max Used Memory,1402.00 MB
*****************************************************
