*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\temp0_temp1_v1.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.74,.11,.85,39736,906,90003
1,success,.46,.09,.55,53443,685,23681
2,success,.47,32.17,32.63,26711,10864,12656492
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,exceedLimit,.00,.03,.00,1.88,93179,1401,10000000,92050
0,exceedLimit,.00,.02,.00,1.85,93179,1401,10000000,92050
0,exceedLimit,.00,.01,.00,1.63,93179,1401,10000000,92050
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,exceedLimit,.00,.02,.00,1.79,93179,1401,10000000,92050

Data loading Time,1.18
Index building Time,.48
Average Eval Time per run,3.66
Average Eval Time per query,3.66
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.05
Average Matching Time per query,.05
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,93179.00
Average Nodes after per query,1401.00
Average number of solution tuples per query,10000000.00
Max Used Memory,518.00 MB
*****************************************************
