*****************************************************,,,,,,,,,
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag,,,,,,,,,
V:265214,E:345203,lbs:20,,,,,,,
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\temp0_temp1_v1.qry,,,,,,,,,
Algorithm:DagEval_simgr,,,,,,,,,
*****************************************************,,,,,,,,,
View,Build,Times:,,,,,,,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG,,
0,success,0.68,0.12,0.79,39736,906,90003,,
1,success,0.61,0.12,0.74,53443,685,23681,,
2,success,0.39,32.94,33.33,26711,10864,12656492,,
*****************************************************,,,,,,,,,
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,exceedLimit,0,0.07,0,2.4,93179,1401,10000000,92050
0,exceedLimit,0,0.04,0,2.08,93179,1401,10000000,92050
0,exceedLimit,0,0.03,0,1.74,93179,1401,10000000,92050
Average,running,time:,,,,,,,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,exceedLimit,0,0.05,0,2.07,93179,1400,10000000,92049
,,,,,,,,,
Data loading Time,1.3,,,,,,,,
Index building Time,0.43,,,,,,,,
Average Eval Time per run,4.34,,,,,,,,
Average Eval Time per query,4.34,,,,,,,,
Average pruning Time per run,0,,,,,,,,
Average pruning Time per query,0,,,,,,,,
Average Matching Time per run,0.09,,,,,,,,
Average Matching Time per query,0.09,,,,,,,,
Average Enumeration Time per run,0,,,,,,,,
Average Enumeration Time per query,0,,,,,,,,
Average Nodes before per query,93179,,,,,,,,
Average Nodes after per query,1400,,,,,,,,
Average number of solution tuples per query,10000000,,,,,,,,
Max Used Memory,510.00 MB,,,,,,,,
*****************************************************,,,,,,,,,
