*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb3_acyc_c_q5.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.85,.00,.86,1.41,3.12,671478,513777,5776466,0,986245
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.85,.00,.86,1.41,3.12,671478,513777,5776466,0,986245

Data loading Time,2.74
Index building Time,.63
Average Eval Time per run,3.12
Average Eval Time per query,3.12
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.86
Average Matching Time per query,.86
Average Enumeration Time per run,1.41
Average Enumeration Time per query,1.41
Average Nodes before per query,671478.00
Average Nodes after per query,513777.00
Average number of solution tuples per query,5776466.00
Max Used Memory,670.00 MB
*****************************************************
