*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\1query.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.00,.00,.71,.10,.81,403394,209775,149987,0,383216
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.00,.00,.71,.10,.81,403394,209775,149987,0,383216

Data loading Time,2.70
Index building Time,.65
Average Eval Time per run,.81
Average Eval Time per query,.81
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.71
Average Matching Time per query,.71
Average Enumeration Time per run,.10
Average Enumeration Time per query,.10
Average Nodes before per query,403394.00
Average Nodes after per query,209775.00
Average number of solution tuples per query,149987.00
Max Used Memory,1019.00 MB
*****************************************************
