*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb3_acyc_c.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,1.99,.00,.42,.15,2.56,537446,152418,154711,0,324198
1,success,1.78,.00,.13,.14,2.05,806159,123931,146803,0,267441
2,success,1.94,.00,.25,.26,2.44,672127,187366,362001,0,409560
3,success,1.73,.00,.23,.22,2.17,671498,211168,473202,0,459011
4,success,1.56,.00,.18,.25,2.00,672127,153703,341265,0,301815
5,success,1.88,.00,.26,.85,2.99,671478,227657,5776466,0,446934
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,1.99,.00,.42,.15,2.56,537446,152418,154711,0,324198
1,success,1.78,.00,.13,.14,2.05,806159,123931,146803,0,267441
2,success,1.94,.00,.25,.26,2.44,672127,187366,362001,0,409560
3,success,1.73,.00,.23,.22,2.17,671498,211168,473202,0,459011
4,success,1.56,.00,.18,.25,2.00,672127,153703,341265,0,301815
5,success,1.88,.00,.26,.85,2.99,671478,227657,5776466,0,446934

Data loading Time,2.88
Index building Time,.69
Average Eval Time per run,14.21
Average Eval Time per query,2.37
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,1.47
Average Matching Time per query,.25
Average Enumeration Time per run,1.86
Average Enumeration Time per query,.31
Average Nodes before per query,671805.83
Average Nodes after per query,176040.50
Average number of solution tuples per query,1209074.67
Max Used Memory,1903.00 MB
*****************************************************
