*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_q7.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.31,.00,.04,.00,.35,52709,10246,22,0,11462
0,success,.16,.00,.01,.00,.17,52709,10246,22,0,11462
0,success,.17,.00,.02,.00,.19,52709,10246,22,0,11462
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.21,.00,.03,.00,.24,52709,10246,22,0,11462

Data loading Time,1.24
Index building Time,.36
Average Eval Time per run,.53
Average Eval Time per query,.53
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.06
Average Matching Time per query,.06
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,52709.00
Average Nodes after per query,10246.00
Average number of solution tuples per query,22.00
Max Used Memory,461.00 MB
*****************************************************
