*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_q7.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.55,.01,.56,39430,356,695
1,success,.18,.00,.18,39444,927,1911
2,success,.17,.00,.17,39492,578,1192
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.16,.02,.01,.18,52709,8663,24,8866
0,success,.16,.01,.00,.18,52709,8663,24,8866
0,success,.21,.01,.00,.22,52709,8663,24,8866
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.18,.01,.00,.19,52709,8663,24,8866

Data loading Time,1.32
Index building Time,.39
Average Eval Time per run,.37
Average Eval Time per query,.37
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.03
Average Matching Time per query,.03
Average Enumeration Time per run,.01
Average Enumeration Time per query,.01
Average Nodes before per query,52709.00
Average Nodes after per query,8663.00
Average number of solution tuples per query,24.00
Max Used Memory,624.00 MB
*****************************************************
