*****************************************************
Dataset:/home/xiaoying/work/experiments/GraHomMat/input/am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:/home/xiaoying/work/experiments/GraHomMat/input/inst_lb3_cyc_c.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,2.17,.00,.22,.05,2.44,402785,99765,46127,0,270874
1,success,1.60,.00,.46,.18,2.24,536208,205731,197170,0,550031
2,success,1.86,.00,.08,.02,1.96,538055,58649,23405,0,147088
3,success,2.07,.00,.06,.03,2.17,537446,42345,20963,0,122638
4,success,1.99,.00,.15,.01,2.15,538075,38817,17124,0,111671
5,success,2.25,.00,.07,.02,2.33,536837,36830,12233,0,130171
6,success,2.33,.00,.01,.01,2.35,671518,7521,2627,0,29506
7,success,2.15,.00,.04,.01,2.20,672756,32109,16145,0,87234
8,success,2.90,.00,.08,.03,3.01,807397,49860,74288,0,156049
9,success,2.27,.00,.02,.01,2.30,805550,16936,7759,0,51408
10,success,2.18,.00,.03,.01,2.23,806768,23313,15759,0,61341
11,success,2.21,.00,.15,.01,2.37,805570,27212,5356,0,67285
12,success,2.54,.00,.08,.03,2.65,806788,55826,36780,0,150989
13,success,2.54,.00,.00,.00,2.54,942078,278,70,0,1283
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,2.17,.00,.22,.05,2.44,402785,99765,46127,0,270874
1,success,1.60,.00,.46,.18,2.24,536208,205731,197170,0,550031
2,success,1.86,.00,.08,.02,1.96,538055,58649,23405,0,147088
3,success,2.07,.00,.06,.03,2.17,537446,42345,20963,0,122638
4,success,1.99,.00,.15,.01,2.15,538075,38817,17124,0,111671
5,success,2.25,.00,.07,.02,2.33,536837,36830,12233,0,130171
6,success,2.33,.00,.01,.01,2.35,671518,7521,2627,0,29506
7,success,2.15,.00,.04,.01,2.20,672756,32109,16145,0,87234
8,success,2.90,.00,.08,.03,3.01,807397,49860,74288,0,156049
9,success,2.27,.00,.02,.01,2.30,805550,16936,7759,0,51408
10,success,2.18,.00,.03,.01,2.23,806768,23313,15759,0,61341
11,success,2.21,.00,.15,.01,2.37,805570,27212,5356,0,67285
12,success,2.54,.00,.08,.03,2.65,806788,55826,36780,0,150989
13,success,2.54,.00,.00,.00,2.54,942078,278,70,0,1283

Data loading Time,2.44
Index building Time,.73
Average Eval Time per run,32.94
Average Eval Time per query,2.35
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,1.45
Average Matching Time per query,.10
Average Enumeration Time per run,.41
Average Enumeration Time per query,.03
Average Nodes before per query,671987.93
Average Nodes after per query,49656.57
Average number of solution tuples per query,33986.14
Max Used Memory,2635.00 MB
*****************************************************
