*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q13.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.25,.00,1.93,.80,2.98,66962,10430,709258,0,1276087
0,success,.20,.00,2.25,.68,3.12,66962,10430,709258,0,1276087
0,success,.24,.00,2.29,.60,3.13,66962,10430,709258,0,1276087
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.23,.00,2.16,.69,3.08,66962,10430,709258,0,1276087

Data loading Time,.90
Index building Time,.24
Average Eval Time per run,6.10
Average Eval Time per query,6.10
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,4.19
Average Matching Time per query,4.19
Average Enumeration Time per run,1.45
Average Enumeration Time per query,1.45
Average Nodes before per query,66962.00
Average Nodes after per query,10430.00
Average number of solution tuples per query,709258.00
Max Used Memory,2847.00 MB
*****************************************************
