*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q13.qry
Algorithm:DagEval_IE
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,6.70,.00,.25,.28,7.23,66962,1570,709258,0,132392
0,success,4.30,.00,.15,.14,4.60,66962,1570,709258,0,132392
0,success,4.56,.00,.19,.17,4.92,66962,1570,709258,0,132392
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,5.19,.00,.20,.20,5.58,66962,1570,709258,0,132392

Data loading Time,.87
Index building Time,.31
Average Eval Time per run,11.94
Average Eval Time per query,11.94
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.42
Average Matching Time per query,.42
Average Enumeration Time per run,.43
Average Enumeration Time per query,.43
Average Nodes before per query,66962.00
Average Nodes after per query,1570.00
Average number of solution tuples per query,709258.00
Max Used Memory,2847.00 MB
*****************************************************
