*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q13.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.36,21.80,22.16,26774,10135,12065335
1,success,.19,.00,.19,26643,1439,2769
2,success,9.89,38.35,48.24,26887,10289,11977399
3,success,.46,39.56,40.02,26810,10937,12752269
4,success,.21,.00,.21,26756,1593,3090
5,success,9.70,35.99,45.69,26810,10147,11715382
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.03,.23,.26,66962,1647,709258,145532
0,success,.00,.03,.23,.27,66962,1647,709258,145532
0,success,.00,.03,.39,.42,66962,1647,709258,145532
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.03,.28,.32,66962,1647,709258,145532

Data loading Time,.91
Index building Time,.21
Average Eval Time per run,.58
Average Eval Time per query,.58
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.06
Average Matching Time per query,.06
Average Enumeration Time per run,.52
Average Enumeration Time per query,.52
Average Nodes before per query,66962.00
Average Nodes after per query,1647.00
Average number of solution tuples per query,709258.00
Max Used Memory,2847.00 MB
*****************************************************
