*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q17.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,29.43,68.58,98.01,26438,10051,11597602
1,success,.16,.00,.16,26165,729,1371
2,success,.15,.00,.15,26402,927,1772
3,success,.53,14.18,14.71,26463,10139,12293042
4,success,.16,.00,.16,26503,856,1625
5,success,.42,25.36,25.78,26169,10428,11966936
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.01,.01,79070,852,13871,21830
0,success,.00,.00,.01,.01,79070,852,13871,21830
0,success,.00,.00,.01,.01,79070,852,13871,21830
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.01,.01,79070,852,13871,21830

Data loading Time,.64
Index building Time,.18
Average Eval Time per run,.03
Average Eval Time per query,.03
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,79070.00
Average Nodes after per query,852.00
Average number of solution tuples per query,13871.00
Max Used Memory,3138.00 MB
*****************************************************
