*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q13.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.17,.00,1.98,.59,2.74,66962,10430,709258,0,1276087
0,success,.18,.00,1.39,.57,2.14,66962,10430,709258,0,1276087
0,success,.19,.00,1.48,.50,2.17,66962,10430,709258,0,1276087
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.18,.00,1.62,.55,2.35,66962,10430,709258,0,1276087

Data loading Time,.74
Index building Time,.14
Average Eval Time per run,4.89
Average Eval Time per query,4.89
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,3.40
Average Matching Time per query,3.40
Average Enumeration Time per run,1.14
Average Enumeration Time per query,1.14
Average Nodes before per query,66962.00
Average Nodes after per query,10430.00
Average number of solution tuples per query,709258.00
Max Used Memory,1252.00 MB
*****************************************************
