*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q13.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.24,.00,.24,40021,1056,2125
1,success,.22,.09,.31,40265,7669,416451
2,success,.20,.84,1.04,40075,3540,72849
3,success,.28,.15,.44,40188,552,49434
4,success,.26,.05,.30,40319,7291,103562
5,success,.19,.14,.33,40152,502,40789
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.01,.06,.07,66962,537,476685,21858
0,success,.00,.01,.07,.08,66962,537,476685,21858
0,success,.00,.01,.07,.08,66962,537,476685,21858
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.01,.07,.07,66962,537,476685,21858

Data loading Time,.72
Index building Time,.21
Average Eval Time per run,.14
Average Eval Time per query,.14
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.02
Average Enumeration Time per run,.13
Average Enumeration Time per query,.13
Average Nodes before per query,66962.00
Average Nodes after per query,537.00
Average number of solution tuples per query,476685.00
Max Used Memory,1520.00 MB
*****************************************************
