*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2to3Eviews_q13.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.19,.00,.19,40021,1056,2125
1,success,.17,.10,.27,40265,7669,416451
2,success,.17,.39,.56,40075,3540,72849
3,success,.18,.30,.48,40188,1570,194292
4,success,.20,2.40,2.60,40319,10284,1559072
5,success,.20,.15,.35,40152,1350,148126
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.03,.20,.23,66962,1583,709258,133870
0,success,.00,.02,.25,.27,66962,1583,709258,133870
0,success,.00,.02,.16,.18,66962,1583,709258,133870
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.02,.20,.23,66962,1583,709258,133870

Data loading Time,1.01
Index building Time,.20
Average Eval Time per run,.47
Average Eval Time per query,.47
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.05
Average Matching Time per query,.05
Average Enumeration Time per run,.42
Average Enumeration Time per query,.42
Average Nodes before per query,66962.00
Average Nodes after per query,1583.00
Average number of solution tuples per query,709258.00
Max Used Memory,2310.00 MB
*****************************************************
