*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3.dag
V:403394,E:1267904,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\1query.qry
Algorithm:GraEval_IE_Hyb
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.00,.00,.34,.17,.51,403394,163085,149987,0,336526
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.00,.00,.34,.17,.51,403394,163085,149987,0,336526

Data loading Time,2.75
Index building Time,.78
Average Eval Time per run,.51
Average Eval Time per query,.51
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.34
Average Matching Time per query,.34
Average Enumeration Time per run,.17
Average Enumeration Time per query,.17
Average Nodes before per query,403394.00
Average Nodes after per query,163085.00
Average number of solution tuples per query,149987.00
Max Used Memory,536.00 MB
*****************************************************
