*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\ep_lb20.dag
V:75879,E:260764,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb20_acyc_c.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.24,.00,.00,.00,.24,15190,393,924,0,877
1,success,.10,.00,.00,.00,.11,22649,189,1455,0,428
2,success,.12,.00,.00,.01,.13,18928,573,15504,0,1281
3,success,.17,.00,.00,.01,.18,19115,692,29951,0,1545
4,success,.10,.00,.00,.01,.11,18951,464,11379,0,1110
5,success,.10,.00,.00,.00,.10,18991,452,10376,0,1076
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.24,.00,.00,.00,.24,15190,393,924,0,877
1,success,.10,.00,.00,.00,.11,22649,189,1455,0,428
2,success,.12,.00,.00,.01,.13,18928,573,15504,0,1281
3,success,.17,.00,.00,.01,.18,19115,692,29951,0,1545
4,success,.10,.00,.00,.01,.11,18951,464,11379,0,1110
5,success,.10,.00,.00,.00,.10,18991,452,10376,0,1076

Data loading Time,.74
Index building Time,.25
Average Eval Time per run,.86
Average Eval Time per query,.14
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.00
Average Enumeration Time per run,.03
Average Enumeration Time per query,.00
Average Nodes before per query,18970.67
Average Nodes after per query,460.50
Average number of solution tuples per query,11598.17
Max Used Memory,191.00 MB
*****************************************************
