*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb15.dag
V:265214,E:345203,lbs:15
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_acyc_c.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,timeout,.44,.00,.00,.00,.44,70522,1128,21123,0,2339
1,timeout,.27,.00,.00,.01,.27,106090,565,12817,0,1155
2,timeout,.29,.00,.00,.01,.30,88567,1228,350837,0,2733
3,timeout,.27,.00,.00,.08,.36,88062,1487,3979216,0,3180
4,timeout,.27,.00,.00,.02,.30,88714,1070,141280,0,2252
5,timeout,.27,.00,.00,.50,.78,88272,2332,67473077,0,4846
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,timeout,.44,.00,.00,.00,.44,70522,1128,21123,0,2339
1,timeout,.27,.00,.00,.01,.27,106090,565,12817,0,1155
2,timeout,.29,.00,.00,.01,.30,88567,1228,350837,0,2733
3,timeout,.27,.00,.00,.08,.36,88062,1487,3979216,0,3180
4,timeout,.27,.00,.00,.02,.30,88714,1070,141280,0,2252
5,timeout,.27,.00,.00,.50,.78,88272,2332,67473077,0,4846

Data loading Time,1.16
Index building Time,.35
Average Eval Time per run,2.44
Average Eval Time per query,.41
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.00
Average Enumeration Time per run,.61
Average Enumeration Time per query,.10
Average Nodes before per query,88371.17
Average Nodes after per query,1301.67
Average number of solution tuples per query,11996391.67
Max Used Memory,642.00 MB
*****************************************************
