*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb15.dag
V:265214,E:345203,lbs:15
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\inst_lb15_acyc_c.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.39,.00,.01,.01,.41,70522,1128,21123,0,2339
1,success,.18,.00,.00,.00,.19,106090,565,12817,0,1155
2,success,.22,.00,.00,.05,.27,88567,1228,350837,0,2733
3,success,.22,.00,.00,.21,.43,88062,1487,3979216,0,3180
4,success,.21,.00,.00,.01,.22,88714,1083,141280,0,2265
5,success,.24,.00,.00,2.23,2.46,88272,2345,67473077,0,4859
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.39,.00,.01,.01,.41,70522,1128,21123,0,2339
1,success,.18,.00,.00,.00,.19,106090,565,12817,0,1155
2,success,.22,.00,.00,.05,.27,88567,1228,350837,0,2733
3,success,.22,.00,.00,.21,.43,88062,1487,3979216,0,3180
4,success,.21,.00,.00,.01,.22,88714,1083,141280,0,2265
5,success,.24,.00,.00,2.23,2.46,88272,2345,67473077,0,4859

Data loading Time,1.18
Index building Time,.36
Average Eval Time per run,3.99
Average Eval Time per query,.66
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.02
Average Matching Time per query,.00
Average Enumeration Time per run,2.51
Average Enumeration Time per query,.42
Average Nodes before per query,88371.17
Average Nodes after per query,1306.00
Average number of solution tuples per query,11996391.67
Max Used Memory,676.00 MB
*****************************************************
