*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3_small.dag
V:403394,E:144514,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\1query.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.62,.00,.03,.07,.73,403394,16334,14106,0,32810
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.62,.00,.03,.07,.73,403394,16334,14106,0,32810

Data loading Time,.99
Index building Time,.38
Average Eval Time per run,.73
Average Eval Time per query,.73
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.03
Average Matching Time per query,.03
Average Enumeration Time per run,.07
Average Enumeration Time per query,.07
Average Nodes before per query,403394.00
Average Nodes after per query,16334.00
Average number of solution tuples per query,14106.00
Max Used Memory,422.00 MB
*****************************************************
